CA0414QK003,11.76,24/07/2024
CA0410QK025,2.64,24/07/2024
CA2264QK004,50.28,24/07/2024
CA0303QK004,12.83,24/07/2024
CA0203QK004,33.83,24/07/2024
CA1878QK025,8.62,24/07/2024
CA0412QK003,14.33,24/07/2024
CA2400QK002,26.26,24/07/2024
CA1953QK001,17.44,24/07/2024
CA2270QK002,143.17,24/07/2024
CA1938QK002,16.66,24/07/2024
CA2244QK026,37.69,24/07/2024
CA2357QK003,85.01,24/07/2024
CA1663QK002,20.86,24/07/2024
CA0406QK005,19.78,24/07/2024
CA0046QK002,38,24/07/2024
CA0043QK001,47.22,24/07/2024
CA0628QK026,46.34,24/07/2024
CA2401QK021,84.37,24/07/2024
CA2323QK025,55.47,24/07/2024
CA0070QK005,100.17,24/07/2024
CA0058QK004,55.59,24/07/2024
CA0928QK026,22.63,24/07/2024
CA0399QK004,39.83,24/07/2024
CA0385QK041,48.09,24/07/2024
CA2390QK026,21.39,24/07/2024
CA0034QK003,124.36,24/07/2024
CA2204QK001,66.19,24/07/2024
CA2395QK006,42.96,24/07/2024
CA1664QK021,25.02,24/07/2024
CA1916QK002,54.47,24/07/2024
CA2462QK006,50.19,24/07/2024
CA2397QK025,109.59,24/07/2024
CA2391QK005,113.33,24/07/2024
CA0336QK003,14.92,24/07/2024
CA0134QK002,11.15,24/07/2024
CA1456QK005,104.83,24/07/2024
CA0211QK002,9.8,24/07/2024
CA0003QK026,15.85,24/07/2024
CA1973QK003,17.89,24/07/2024
CA1886QK002,64.79,24/07/2024
CA2239QK003,33.06,24/07/2024
CA0125QK005,73.53,24/07/2024
CA0405QK025,33.11,24/07/2024
CA2389QK004,86.39,24/07/2024
CA2392QK006,191.69,24/07/2024
CA0202QK022,11.66,24/07/2024
CA0081QK023,15.17,24/07/2024
CA1878QK003,32.2,24/07/2024
CA0352QK001,26.39,24/07/2024
CA1241QK023,44.69,24/07/2024
CA0206QK005,37.99,24/07/2024
CA2398QK026,74.83,24/07/2024
CA0323QK004,11.24,24/07/2024
CA3777QK024,28.21,24/07/2024
CA2269QK023,58.62,24/07/2024
CA0054QK041,45.56,24/07/2024
CA1455QK026,99.54,24/07/2024
CA0414QK022,5.08,24/07/2024
CA0387QK043,21.33,24/07/2024
CA0066QK003,37.88,24/07/2024
CA0928QK001,16.24,24/07/2024
CA0412QK025,7.26,24/07/2024
CA2362QK004,21.95,24/07/2024
CA0323QK025,9.69,24/07/2024
CA0376QK002,61.23,24/07/2024
CA1953QK023,4.01,24/07/2024
CA2402QK042,9.13,24/07/2024
CA0305QK026,13.38,24/07/2024
CA0052QK006,32.07,24/07/2024
CA2200QK002,23.91,24/07/2024
CA0409QK043,4,24/07/2024
CA1939QK001,38.25,24/07/2024
CA2394QK024,18.56,24/07/2024
CA2211QK001,12.71,24/07/2024
CA2247QK022,23.57,24/07/2024
CA0407QK001,2.66,24/07/2024
CA0046QK024,34.56,24/07/2024
CA0045QK003,9.56,24/07/2024
CA2356QK024,45.62,24/07/2024
CA0058QK026,15.46,24/07/2024
CA0399QK026,17.66,24/07/2024
CA0209QK005,45.94,24/07/2024
CA0034QK023,83.76,24/07/2024
CA0252QK006,16.98,24/07/2024
CA2360QK021,47.71,24/07/2024
CA0389QK041,16.36,24/07/2024
CA0084QK003,18.62,24/07/2024
CA1916QK024,131.72,24/07/2024
CA3008QK002,45.67,24/07/2024
CA2388QK022,89.56,24/07/2024
CA2391QK041,91.62,24/07/2024
CA0291QK001,42.17,24/07/2024
